Site,Number_of_seeds,Expected_number_of_seeds
1,22,25
1,15,25
1,13,25
1,6,25
1,5,25
1,4,25
1,9,25
1,13,25
1,5,25
1,19,25
1,8,25
1,0,25
1,15,25
1,15,25
1,24,25
9,11,25
9,26,25
9,16,25
9,19,25
9,24,25
9,10,25
9,22,25
9,7,25
9,21,25
9,29,25
9,17,25
9,19,25
9,18,25
9,15,25
9,17,25
14,20,25
14,5,25
14,22,25
14,11,25
14,9,25
14,1,25
14,17,25
14,9,25
14,18,25
14,9,25
14,4,25
14,14,25
14,0,25
14,18,25
14,10,25
21,5,25
21,2,25
21,16,25
21,16,25
21,7,25
21,21,25
21,21,25
21,11,25
21,10,25
21,19,25
21,12,25
21,8,25
21,25,25
21,41,25
21,27,25
26,3,25
26,16,25
26,16,25
26,3,25
26,22,25
26,9,25
26,1,25
26,13,25
26,6,25
26,11,25
26,16,25
26,9,25
26,10,25
26,14,25
26,11,25